"test_id","public_no","title","abstract_excerpt","claims_excerpt","gold_labels","gold_protein_type","gold_protein_function","gold_separation_technology","source_dataset","example_authority"
"T001","CN119453323A","Pediatric formula food for promoting skeletal-muscle development","The invention provides a pediatric formula food for promoting skeletal-muscle development. The formula contains lactoferrin and pyrroloquinoline quinone disodium salt at a weight ratio of 20:1 to 30:1. It promotes skeletal-muscle development, supports absorption and utilization of these nutrients, and materially improves muscle mass, strength, and function.","1. A pediatric formula food containing a composition of lactoferrin and pyrroloquinoline quinone disodium salt, wherein their weight ratio is 20:1 to 30:1. _x000D_ 10. Use of a composition to prepare a product for promoting skeletal and muscular development, wherein the composition contains lactoferrin and pyrroloquinoline quinone disodium salt at a weight ratio of 20:1 to 30:1; preferably, the product is a pediatric formula food.","Protein type > Whey protein > Lactoferrin | Protein function > Bone health | Protein function > Muscle development","Protein type > Whey protein > Lactoferrin","Protein function > Bone health | Protein function > Muscle development","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T002","KR102750114B1","Composition containing a whey-protein hydrolysate for preventing, improving, or treating sleep disorders","The invention relates to a composition containing a whey-protein hydrolysate as an active ingredient for preventing, improving, or treating sleep disorders. The composition can increase sleep time, reduce wake time, increase NREM sleep, reduce REM sleep, and increase expression of GABAA-receptor and serotonin-receptor genes, while presenting fewer adverse effects such as drug dependence and headache.","Claim 1. A pharmaceutical composition for preventing, improving, or treating a sleep disorder, containing a whey-protein hydrolysate as an active ingredient, wherein the hydrolysate is obtained by treating whey protein with Alcalase and Prozyme enzymes. _x000D_ Claim 10. A food composition containing that whey-protein hydrolysate for preventing or improving a sleep disorder. _x000D_ Claim 11. a) treating whey protein with Alcalase enzyme [source excerpt ends here].","Protein type > Other milk proteins > Milk-derived peptide | Protein function > Sleep improvement","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Sleep improvement","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T003","CN119241680A","ACE-inhibitory peptide VR8, its use, and a preparation method","The invention discloses ACE-inhibitory peptide VR8, its use, and its preparation. VR8 has the amino-acid sequence VPNSAEER and is used in a functional food that assists in lowering blood pressure. The peptide is extracted from bovine casein and inhibits ACE activity in vitro; the source further reports high specificity, low toxicity, and favorable efficacy for daily and health-maintenance use.","1. ACE-inhibitory peptide VR8, wherein its amino-acid sequence is VPNSAEER. _x000D_ 3. Use of the peptide of claim 1 or 2 in a functional food that assists in lowering blood pressure. _x000D_ 4. A method for preparing the peptide, comprising: step 1, enzymatically hydrolyzing bovine casein with a protease at 37–55 °C, an enzyme dosage of 2–6%, pH above 7, and a duration of 3–12 h; and step 2, filtering the hydrolysate to remove residue, obtaining a clarified peptide hydrolysate, and freeze-drying it to obtain peptide powder.","Protein type > Other milk proteins > Milk-derived peptide | Separation method > Membrane separation > Filtration, ultrafiltration, or reverse osmosis | Separation method > Targeted enzymatic hydrolysis | Protein function > Blood-pressure reduction","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Blood-pressure reduction","Separation method > Membrane separation > Filtration, ultrafiltration, or reverse osmosis | Separation method > Targeted enzymatic hydrolysis","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T004","CN118556870B","Nutritional composition and its use to improve brain, neural, and cognitive development","The invention concerns a nutritional composition and its use to improve brain, neural, and cognitive development. The composition contains medium- and long-chain triglycerides together with casein phosphopeptide; their reported synergy materially improves brain, neural, and cognitive development. The composition may prevent or improve delayed brain, nervous-system, or cognitive development and may address impaired learning, behavior, memory, or attention span.","1. A nutritional composition containing medium- and long-chain triglycerides and casein phosphopeptide at a mass ratio of (8–25):1. _x000D_ 3. Use of the composition of claim 1 or 2 to prepare a product for improving brain or cognitive development. _x000D_ 5. Use to prepare a product for enhancing learning and/or memory. _x000D_ 7. Non-therapeutic use to improve brain or cognitive development. _x000D_ 8. Non-therapeutic use to enhance learning and/or memory. _x000D_ 9. A product containing the composition of claim 1 or 2.","Protein type > Other milk proteins > Milk-derived peptide | Protein function > Protection against neurodegeneration | Protein function > Supports brain development","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Protection against neurodegeneration | Protein function > Supports brain development","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T005","CN118787031A","Lactoferrin-containing nutritional composition, production process, and use","The invention provides a nutritional composition containing lactoferrin, immunoglobulin, vitamins A, E, B6, and C, probiotics, and other ingredients at selected weight percentages. The source reports enhanced immunity and activity against viral pneumonia. It also provides a production process that integrates mixing, concentration, and spraying in concentration-drying equipment. Dynamic inner mixing cylinders and an outer deformable cylinder move the liquid through internal and external chambers to improve mixing, production efficiency, and component uniformity.","1. A lactoferrin-containing nutritional composition comprising whey powder, milk powder, lactoferrin, and vitamins A, E, B6, and C. _x000D_ 7. A process for producing the composition of any of claims 1–6, comprising: step 1, clarifying and pasteurizing fresh raw milk, then high-pressure homogenizing and storing it; step 2, mixing the homogenized milk with pasteurized fresh whey and heating to concentrate the milk solids; and step 3, spray-drying the concentrated mixture [source excerpt ends here].","Protein type > Whey protein > Lactoferrin | Protein function > Immune modulation | Protein function > Antimicrobial or antiviral activity","Protein type > Whey protein > Lactoferrin","Protein function > Immune modulation | Protein function > Antimicrobial or antiviral activity","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T006","CN118766091A","Use of a nutritional composition to increase intestinal short-chain fatty acids","The invention concerns use of a nutritional composition to increase intestinal short-chain fatty-acid levels. The composition contains lactoferrin and a prebiotic and can regulate gut-microbiota metabolites, particularly acetate, propionate, and butyrate. During fermentation, microbiota diversity and short-chain fatty-acid production increase. The composition is reported to increase intestinal short-chain fatty acids in middle-aged and older people with constipation.","1. Use of a nutritional composition to increase intestinal short-chain fatty-acid levels, wherein the nutritional composition comprises lactoferrin and a prebiotic.","Protein type > Whey protein > Lactoferrin | Protein function > Immune modulation | Protein function > Supports gut health","Protein type > Whey protein > Lactoferrin","Protein function > Immune modulation | Protein function > Supports gut health","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T008","CN118754970A","Method for preparing zinc-loaded lactoferrin, zinc-loaded lactoferrin, and use thereof","The invention discloses zinc-loaded lactoferrin and its preparation and use. S1 dissolves native lactoferrin powder in purified water, places it in dialysis tubing, dialyzes against iron-removal buffer, and then continues dialysis against purified water. S2 vacuum-freeze-dries the dialysate to obtain iron-depleted lactoferrin powder, dissolves it in binding buffer, and adds zinc sulfate. S3 repeats dialysis against binding buffer and then purified water after binding. S4 vacuum-freeze-dries the dialysate to obtain zinc-loaded lactoferrin powder. ICP-MS reportedly measured zinc at up to 140 mg/100 g and a chelation rate up to 87%.","1. A method for preparing zinc-loaded lactoferrin, comprising: S1, dissolving native lactoferrin powder in purified water and dialyzing it against an iron-removal buffer and then purified water; S2, vacuum-freeze-drying to obtain iron-depleted lactoferrin powder, dissolving the powder in binding buffer, and adding zinc sulfate; S3, dialyzing the post-binding solution against binding buffer and then purified water; and S4, vacuum-freeze-drying to obtain zinc-loaded lactoferrin powder. _x000D_ 8. Zinc-loaded lactoferrin prepared by any one of claims 1–7.","Protein type > Whey protein > Lactoferrin | Separation method > Membrane separation > Filtration, ultrafiltration, or reverse osmosis | Protein function > Antioxidant activity","Protein type > Whey protein > Lactoferrin","Protein function > Antioxidant activity","Separation method > Membrane separation > Filtration, ultrafiltration, or reverse osmosis","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T009","CN118726517A","Method for preparing fresh-milk-grade bioactive casein peptides","The invention provides a method for preparing fresh-milk-grade bioactive casein peptides. Sequential hydrolysis with an alkaline protease and a flavor protease is performed under controlled temperature, pH, and time conditions, followed by membrane separation to obtain peptides having an average molecular weight below 1 kDa. The source reports favorable bioavailability and antifatigue activity supporting rapid physical recovery.","1. A method for preparing fresh-milk-grade bioactive casein peptides, comprising: (1) dissolving casein micelle powder to prepare a casein solution; (2) hydrolyzing the solution with an alkaline protease, separating it with a 5 kDa ceramic membrane, and hydrolyzing the permeate with a flavor protease; wherein alkaline-protease hydrolysis uses pH 6–9, 50–70 °C, and 2–4 h, and flavor-protease hydrolysis uses pH 5–8, 50–60 °C, and 3–4 h; and (3) passing the hydrolysate through a 1 kDa ceramic membrane to obtain the peptides. _x000D_ 7. A fresh-milk-grade bioactive casein peptide or peptide powder produced according to [source excerpt ends here].","Protein type > Other milk proteins > Milk-derived peptide | Separation method > Membrane separation | Protein function > Antioxidant activity","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Antioxidant activity","Separation method > Membrane separation","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T010","CN111801109B","Peptide capable of improving cognitive function","The invention provides a peptide that inhibits deterioration of cognitive function and improves cognitive function, together with uses of the peptide. The tripeptide Tyr-Leu-Gly is used as an active ingredient in a composition for improving cognitive function or increasing expression of brain-derived neurotrophic factor in the hippocampus. The compositions include food, food-additive, and pharmaceutical compositions.","1. Use of the tripeptide Tyr-Leu-Gly in manufacturing a composition for improving insulin resistance.","Protein type > Other milk proteins > Milk-derived peptide | Protein function > Glycemic control | Protein function > Protection against neurodegeneration","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Glycemic control | Protein function > Protection against neurodegeneration","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T011","CN118575955A","Nutritional composition containing milk fat and immunoglobulin","A synthetic nutritional composition comprising ruminant milk fat capable of activating the aryl hydrocarbon receptor (AhR) in an AhR activity assay, and ruminant immunoglobulin.","1. A synthetic nutritional composition comprising: i. ruminant milk fat capable of activating AhR in an AhR activity assay; and ii. 115 micrograms to 50 mg ruminant immunoglobulin per gram of dry composition, at least 30% of which is non-denatured; wherein milk fat is present at 10–60 g per 100 g formula and ruminant fat is 5–90 wt% of total fat. _x000D_ 14. Use of the composition of any of claims 1–13 in a preterm-infant, infant, follow-on, or young-child formula.","Protein type > Whey protein > Lactoferrin | Protein function > Immune modulation | Protein function > Supports gut health","Protein type > Whey protein > Lactoferrin","Protein function > Immune modulation | Protein function > Supports gut health","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
