"label_id","dimension","label_name","label_path","parent_label_id","definition","include_when","exclude_when","synonyms","confusable_labels","positive_example","negative_example","status","taxonomy_version","source_frequency","learning_source","definition_status","dirty_observation","output_eligible"
"MP-F7AF20CE46","Separation method","Separation method","Separation method","","Root dimension for separation method in the milk-protein processing taxonomy.","The record requires a decision in this dimension.","Do not output the dimension root as a leaf-level label.","","","Supported by the domain rules and gold-standard examples.","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","0","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","false"
"MP-38B21C5D35","Separation method","Two or more preparation methods","Separation method > Two or more preparation methods","MP-F7AF20CE46","Milk-protein technology in which Two or more preparation methods is a key preparation, extraction, purification, concentration, or separation route.","Two or more preparation methods is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","Supported by the domain rules and gold-standard examples.","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","4","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-6B28DD099F","Separation method","Targeted enzymatic hydrolysis","Separation method > Targeted enzymatic hydrolysis","MP-F7AF20CE46","Milk-protein technology in which Targeted enzymatic hydrolysis is a key preparation, extraction, purification, concentration, or separation route.","Targeted enzymatic hydrolysis is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","CN119241680A: ACE-inhibitory peptide VR8, its use, and a preparation method","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","3","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-A88078C753","Separation method","Precipitation","Separation method > Precipitation","MP-F7AF20CE46","Milk-protein technology in which Precipitation is a key preparation, extraction, purification, concentration, or separation route.","Precipitation is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","Supported by the domain rules and gold-standard examples.","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","4","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-62CB98C9E0","Separation method","Electrochemical separation","Separation method > Electrochemical separation","MP-F7AF20CE46","Milk-protein technology in which Electrochemical separation is a key preparation, extraction, purification, concentration, or separation route.","Electrochemical separation is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","Supported by the domain rules and gold-standard examples.","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","0","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-ABE2BC580C","Separation method","Membrane separation","Separation method > Membrane separation","MP-F7AF20CE46","Milk-protein technology in which Membrane separation is a key preparation, extraction, purification, concentration, or separation route.","Membrane separation is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","Separation method > Membrane separation > Microfiltration|Separation method > Membrane separation > Filtration, ultrafiltration, or reverse osmosis","CN118726517A: Method for preparing fresh-milk-grade bioactive casein peptides","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","2","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-CC067A2D20","Separation method","Chromatography","Separation method > Chromatography","MP-F7AF20CE46","Milk-protein technology in which Chromatography is a key preparation, extraction, purification, concentration, or separation route.","Chromatography is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","CN117204502B: Method for preparing a beta-casein phosphopeptide product and use thereof","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","8","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-CF121C2C0F","Separation method","Non-membrane physical separation","Separation method > Non-membrane physical separation","MP-F7AF20CE46","Milk-protein technology in which Non-membrane physical separation is a key preparation, extraction, purification, concentration, or separation route.","Non-membrane physical separation is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","CN117304296A: Donkey-milk whey-protein peptides and preparation method thereof","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","2","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-216C55412E","Separation method","Electrophoresis","Separation method > Electrochemical separation > Electrophoresis","MP-62CB98C9E0","Milk-protein technology in which Electrophoresis is a key preparation, extraction, purification, concentration, or separation route.","Electrophoresis is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","Supported by the domain rules and gold-standard examples.","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","4","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
"MP-A08F42A752","Separation method","Isoelectric separation","Separation method > Electrochemical separation > Isoelectric separation","MP-62CB98C9E0","Milk-protein technology in which Isoelectric separation is a key preparation, extraction, purification, concentration, or separation route.","Isoelectric separation is technically central to selectively obtaining, separating, purifying, or concentrating the target protein or peptide.","Do not apply when the method is only a routine auxiliary step and is not technically central.","","","Supported by the domain rules and gold-standard examples.","See the domain boundary rules and adjacent-label examples.","formal","milk-protein-customer-v2","5","20260525085204594-2.xlsx","user_confirmed_v2_starting_definition","","true"
