label_id,dimension,label_name,label_path,parent_label_id,definition,include_when,exclude_when,synonyms,confusable_labels,positive_example,negative_example,status,taxonomy_version,source_frequency,learning_source,definition_status,dirty_observation,output_eligible
MP-F7AF20CE46,分离技术手段,分离技术手段,分离技术手段,,乳蛋白深加工标引中的分离技术手段维度。,记录需要在分离技术手段维度进行标引。,不得把该维度名称单独作为叶级标引结果。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,0,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,false
MP-38B21C5D35,分离技术手段,制备时用两种及以上方法,分离技术手段 > 制备时用两种及以上方法,MP-F7AF20CE46,将制备时用两种及以上方法作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,4,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-6B28DD099F,分离技术手段,定向酶解,分离技术手段 > 定向酶解,MP-F7AF20CE46,将定向酶解作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,CN119241680A: ACE抑制肽VR8、其应用及制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,3,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-A88078C753,分离技术手段,沉淀,分离技术手段 > 沉淀,MP-F7AF20CE46,将沉淀作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,4,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-62CB98C9E0,分离技术手段,电化学,分离技术手段 > 电化学,MP-F7AF20CE46,将电化学作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,0,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-ABE2BC580C,分离技术手段,膜分离,分离技术手段 > 膜分离,MP-F7AF20CE46,将膜分离作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,分离技术手段 > 膜分离 > 微滤|分离技术手段 > 膜分离 > 过滤，超滤或反渗透,CN118726517A: 一种鲜奶级酪蛋白活性肽的制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,2,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-CC067A2D20,分离技术手段,色谱,分离技术手段 > 色谱,MP-F7AF20CE46,将色谱作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,CN117204502B: 一种β-酪蛋白磷酸肽产品的制备方法及其应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,8,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-CF121C2C0F,分离技术手段,除膜分离外的物理分离,分离技术手段 > 除膜分离外的物理分离,MP-F7AF20CE46,将除膜分离外的物理分离作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,CN117304296A: 一种驴乳乳清蛋白肽及其制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,2,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-216C55412E,分离技术手段,电泳,分离技术手段 > 电化学 > 电泳,MP-62CB98C9E0,将电泳作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,4,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-A08F42A752,分离技术手段,等电点,分离技术手段 > 电化学 > 等电点,MP-62CB98C9E0,将等电点作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,5,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
